"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"PD";"PD_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"3603";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3608";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3611";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3619";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3630";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3656";NA;NA;"EN";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3670";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3676";NA;NA;"NT";"pr. A2b";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3688";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3696";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3713";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3723";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3726";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3733";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3741";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3755";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3764";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3774";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3780";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3784";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3791";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3798";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3803";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3807";NA;NA;"VU";"A2b";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3811";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3814";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3941";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3958";NA;NA;"NT";"pr. D1";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3967";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3978";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3984";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4001";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4013";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4023";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4035";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4040";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4049";NA;NA;"EN";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4064";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4084";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4112";NA;NA;"EN";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4117";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4127";NA;NA;"VU";"A2b";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4129";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4137";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4142";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4167";NA;NA;"EN";"A2b";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4172";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4187";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4192";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4195";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
