"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Fonge";"Acanthophysium buxicola";"438043";"Acanthophysium buxicola";"Acanthophysium buxicola Boidin & Lanq., 1986";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysium lapponicum";"41276";"Acanthophysium lapponicum";"Acanthophysium lapponicum (Litsch.) Boidin, 1986";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigma";"188715";"Acanthostigma";"Acanthostigma De Not., 1865";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigma crastophilum";"862217";"Acanthostigma crastophilum";"Acanthostigma crastophilum Sacc. & Fautrey, 1899";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigma hederae";"45286";"Acanthostigma hederae";"Acanthostigma hederae Pat., 1889";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigma perpusillum";"862220";"Acanthostigma perpusillum";"Acanthostigma perpusillum De Not., 1865";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigma punctiforme";"862221";"Acanthostigma punctiforme";"Acanthostigma punctiforme Sacc., E.Bommer & M.Rousseau, 1890";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmella";"188716";"Acanthostigmella";"Acanthostigmella Höhn., 1905";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmella genuflexa";"45288";"Acanthostigmella genuflexa";"Acanthostigmella genuflexa Höhn., 1905";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmella pallida";"45289";"Acanthostigmella pallida";"Acanthostigmella pallida Dennis & M.E.Barr, 1977";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmina";"864713";"Acanthostigmina";"Acanthostigmina Höhn., 1909";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmina longispora";"865448";"Acanthostigmina longispora";"Acanthostigmina longispora (Remler) J.L.Crane, Shearer & M.E.Barr, 1998";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthostigmina minuta";"871648";"Acanthostigmina minuta";"Acanthostigmina minuta (Fuckel) Clem. & Shear, 1931";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora";"188722";"Acarospora";"Acarospora A.Massal., 1852";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora admissa";"660445";"Acarospora admissa";"Acarospora admissa (Nyl.) Kullh., 1871";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora adscendens";"948996";"Acarospora adscendens";"Acarospora adscendens Cl.Roux & Poumarat, 2019";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora albocaesia";"1040525";"Acarospora albocaesia";"Acarospora albocaesia (Nyl.) Flagey, 1896";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora albomarginata";"58157";"Acarospora albomarginata";"Acarospora albomarginata (H.Magn.) Clauzade & Cl.Roux, 1982";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora anomala";"58076";"Acarospora anomala";"Acarospora anomala H.Magn., 1924";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora argillacea";"58188";"Acarospora argillacea";"Acarospora argillacea (Arnold) Hue, 1909";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora atrata";"1040533";"Acarospora atrata";"Acarospora atrata Hue, 1909";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora badiofusca";"58165";"Acarospora badiofusca";"Acarospora badiofusca (Nyl.) Th.Fr., 1861";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora badiofusca subsp. badiofusca";"58166";"Acarospora badiofusca subsp. badiofusca";"Acarospora badiofusca subsp. badiofusca (Nyl.) Th.Fr., 1861";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora badiofusca subsp. badiorubra";"58167";"Acarospora badiofusca subsp. badiorubra";"Acarospora badiofusca subsp. badiorubra Clauzade & Cl.Roux, 1981";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora bullata";"58067";"Acarospora bullata";"Acarospora bullata Anzi, 1868";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora canasiacensis";"1036464";"Acarospora canasiacensis";"Acarospora canasiacensis (Hue) Cl.Roux, 2022";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora cervina";"58089";"Acarospora cervina";"Acarospora cervina A.Massal., 1852";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora complanata";"58113";"Acarospora complanata";"Acarospora complanata H.Magn., 1924";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora crozalsii";"58154";"Acarospora crozalsii";"Acarospora crozalsii B.de Lesd., 1923";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora discreta";"660443";"Acarospora discreta";"Acarospora discreta (Ach.) Arnold, 1878";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora epiaspicilia";"948993";"Acarospora epiaspicilia";"Acarospora epiaspicilia Cl.Roux & M.Bertrand, 2019";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora episulphurata";"997145";"Acarospora episulphurata";"Acarospora episulphurata Cl.Roux & S.Poumarat, 2019";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
