"HAB";"TYPO";"CD_LB";"CD";"LB";"NIVEAU"
"28378";"28";"F66-42 Lavatero arboreae-Atriplicetum prostratae";"F66-42";"Lavatero arboreae-Atriplicetum prostratae";"8"
"28379";"28";"F66-43 Chenopodio muralis-Mesembryanthemetum crystallini";"F66-43";"Chenopodio muralis-Mesembryanthemetum crystallini";"8"
"30818";"28";"F72-01 Geranio sanguinei-Anemonetum sylvestris";"F72-01";"Geranio sanguinei-Anemonetum sylvestris";"8"
"30820";"28";"F72-02 Geranio sanguinei-Dictamnetum albi";"F72-02";"Geranio sanguinei-Dictamnetum albi";"8"
"30596";"28";"F72-03 Bupleuro longifolii-Laserpitietum latifolii";"F72-03";"Bupleuro longifolii-Laserpitietum latifolii";"8"
"30822";"28";"F72-04 Geranio sanguinei-Peucedanetum cervariae";"F72-04";"Geranio sanguinei-Peucedanetum cervariae";"8"
"30602";"28";"F72-05 Campanulo medii-Geranietum sanguinei";"F72-05";"Campanulo medii-Geranietum sanguinei";"8"
"30819";"28";"F72-06 Geranio sanguinei-Coronilletum coronatae";"F72-06";"Geranio sanguinei-Coronilletum coronatae";"8"
"30816";"28";"F72-07 Gentiano luteae-Daphnetum cneori";"F72-07";"Gentiano luteae-Daphnetum cneori";"8"
"30585";"28";"F72-08 Asperulo tinctoriae-Vincetoxicetum hirundinariae";"F72-08";"Asperulo tinctoriae-Vincetoxicetum hirundinariae";"8"
"30759";"28";"F72-09 Carici ornithopodae-Anthericetum ramosi";"F72-09";"Carici ornithopodae-Anthericetum ramosi";"8"
"30825";"28";"F72-10 Geranio sanguinei-Trifolietum alpestris";"F72-10";"Geranio sanguinei-Trifolietum alpestris";"8"
"30988";"28";"F72-11 Melampyro cristati-Trifolietum alpestris";"F72-11";"Melampyro cristati-Trifolietum alpestris";"8"
"30915";"28";"F72-12 Potentillo pedatae-Geranietum lanuginosi";"F72-12";"Potentillo pedatae-Geranietum lanuginosi";"8"
"31147";"28";"F72-13 Xanthoselino veneti-Brachypodietum rupestris";"F72-13";"Xanthoselino veneti-Brachypodietum rupestris";"8"
"30824";"28";"F72-14 Geranio sanguinei-Seslerietum argenteae";"F72-14";"Geranio sanguinei-Seslerietum argenteae";"8"
"30878";"28";"F72-15 Lathyro latifolii-Brachypodietum rupestris";"F72-15";"Lathyro latifolii-Brachypodietum rupestris";"8"
"30887";"28";"F72-16 Lilio crocei-Laserpitietum sileris";"F72-16";"Lilio crocei-Laserpitietum sileris";"8"
"30877";"28";"F72-17 Lathyro heterophylli-Vicietum onobrychioidis";"F72-17";"Lathyro heterophylli-Vicietum onobrychioidis";"8"
"30586";"28";"F72-18 Asphodelo macrocarpi-Laserpitietum sileris";"F72-18";"Asphodelo macrocarpi-Laserpitietum sileris";"8"
"30821";"28";"F72-19 Geranio sanguinei-Laserpitietum sileris";"F72-19";"Geranio sanguinei-Laserpitietum sileris";"8"
"31208";"28";"F72-20 Teucrio scorodoniae-Polygonatetum odorati";"F72-20";"Teucrio scorodoniae-Polygonatetum odorati";"8"
"30772";"28";"F72-21 Cervario rivini-Oreoselinetum nigri";"F72-21";"Cervario rivini-Oreoselinetum nigri";"8"
"30712";"28";"F72-22 Diantho seguieri-Peucedanetum oreoselini";"F72-22";"Diantho seguieri-Peucedanetum oreoselini";"8"
"30914";"28";"F72-23 Potentillo montanae-Polygonatetum odorati";"F72-23";"Potentillo montanae-Polygonatetum odorati";"8"
"30823";"28";"F72-24 Geranio sanguinei-Rubietum peregrinae";"F72-24";"Geranio sanguinei-Rubietum peregrinae";"8"
"31017";"28";"F72-25 Rubio peregrinae-Anthericetum ramosi";"F72-25";"Rubio peregrinae-Anthericetum ramosi";"8"
"30689";"28";"F72-26 Euphorbio angulatae-Spiraeetum obovatae";"F72-26";"Euphorbio angulatae-Spiraeetum obovatae";"8"
"30888";"28";"F72-27 Limodoro abortivi-Cytisetum lotoidis";"F72-27";"Limodoro abortivi-Cytisetum lotoidis";"8"
"30769";"28";"F72-28 Centaureo semidecurrentis-Melampyretum cristati";"F72-28";"Centaureo semidecurrentis-Melampyretum cristati";"8"
"30998";"28";"F72-29 Odontito chrysanthae-Phyteumatetum teneri";"F72-29";"Odontito chrysanthae-Phyteumatetum teneri";"8"
"30801";"28";"F72-30 Lithospermo purpurocaerulei-Pulmonarietum longifoliae";"F72-30";"Lithospermo purpurocaerulei-Pulmonarietum longifoliae";"8"
"31220";"28";"F72-31 Trifolio medii-Silaetum silai";"F72-31";"Trifolio medii-Silaetum silai";"8"
"31218";"28";"F72-33 Trifolio medii-Laserpitietum latifolii";"F72-33";"Trifolio medii-Laserpitietum latifolii";"8"
"30595";"28";"F72-34 Bupleuro falcati-Laserpitietum latifolii";"F72-34";"Bupleuro falcati-Laserpitietum latifolii";"8"
"30675";"28";"F72-35 Coronillo variae-Vicietum tenuifoliae";"F72-35";"Coronillo variae-Vicietum tenuifoliae";"8"
"30674";"28";"F72-36 Coronillo variae-Peucedanetum alsatici";"F72-36";"Coronillo variae-Peucedanetum alsatici";"8"
"30673";"28";"F72-38 Coronillo variae-Brachypodietum pinnati";"F72-38";"Coronillo variae-Brachypodietum pinnati";"8"
"30777";"28";"F72-40 Chrysanthemo corymbosi-Oryzopsietum paradoxae";"F72-40";"Chrysanthemo corymbosi-Oryzopsietum paradoxae";"8"
"30588";"28";"F72-41 Astero armoricani-Geranietum sanguinei";"F72-41";"Astero armoricani-Geranietum sanguinei";"8"
"30700";"28";"F72-42 Filipendulo vulgaris-Geranietum sanguinei";"F72-42";"Filipendulo vulgaris-Geranietum sanguinei";"8"
"31111";"28";"F72-43 Serratulo seoanei-Brachypodietum rupestris";"F72-43";"Serratulo seoanei-Brachypodietum rupestris";"8"
"31236";"28";"F72-44 Ulici maritimi-Geranietum sanguinei";"F72-44";"Ulici maritimi-Geranietum sanguinei";"8"
"30852";"28";"F72-45 Inulo conyzae-Polygonatetum odorati";"F72-45";"Inulo conyzae-Polygonatetum odorati";"8"
"30754";"28";"F72-46 Carici arenariae-Silenetum nutantis";"F72-46";"Carici arenariae-Silenetum nutantis";"8"
"31215";"28";"F72-47 Trifolio medii-Agrimonietum eupatoriae";"F72-47";"Trifolio medii-Agrimonietum eupatoriae";"8"
